"","feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"1","amplitude_kurtosis__1_",0.879997468904173,0.561510512055521,0.414834614452422,0.895167470506839,0.682961171574093,0.555199884656704
"2","amplitude_kurtosis__2_",0.868773216261181,0.896486349418684,0.729681185225511,0.850162526138266,0.927499944042647,0.811237157508231
"3","amplitude_kurtosis__3_",0.858879887155636,0.832154548528092,0.675511910274761,0.834480107910448,0.876622411246891,0.76149856812848
"4","amplitude_kurtosis__4_",0.773926546631723,0.631733419765437,0.0169813240189815,0.774948288957425,0.721009071790465,0.144654825542781
"5","amplitude_skew__1_",0.787152379464966,0,0.670629196713828,0.76302629947086,4.11088512355642e-15,0.711407668152835
"6","amplitude_skew__2_",0.719783297227043,0.728405630741199,0.658372933961256,0.609988940579476,0.807125111217982,0.758423415681265
"7","amplitude_skew__3_",0.846069252341886,0.898199329064877,0.842033062089789,0.829406216801926,0.930860724426889,0.889045608372241
"8","amplitude_skew__4_",0.837390987763101,0.386476308858432,0,0.811893724179821,0.458488644969142,0.0965654362448325
"9","connectivity_coh_mean__1_",7.12109168447565e-16,0,0.814556899409421,0.129537624035935,0,0.859547325481493
"10","connectivity_coh_mean__2_",0.657530903911512,0.285733511945007,0.938304579753901,0.737803931641935,0,0.958097762348779
"11","connectivity_coh_mean__3_",0.744773283331451,0.113977920017461,0.941084093089356,0.791321105719945,9.42960060905155e-15,0.957700977984326
"12","connectivity_coh_mean__4_",0.628203081103904,0,0.558872560258992,0.724382070113662,0,0.498331096232946
"13","IBI_burst_prc",0.57270107100754,0.366992560393681,0.0064991291477153,0.66027098654053,0.524416333839362,0.204446624957598
"14","IBI_length_median",0.724960545963406,0.801804175063519,0.660841667047535,0.762844286785055,0.830253314688551,0.741909706616888
"15","spectral_power__1_",0.632358499672621,0.148777380179917,0.305194827595376,0.453230385305418,0.183286163650877,0.162216544283136
"16","spectral_power__2_",0.891503896763316,0.751732640533899,0.705819791701076,0.880260415917637,0.772297651341368,0.749751165757367
"17","spectral_power__3_",0.77536154494795,0.544084628820882,0.855021681052255,0.795167906176876,0.545525097716441,0.899084720158738
"18","spectral_power__4_",0.289085060763046,0.442907118829554,0.693238049813242,0.388721514971411,0.461598238059834,0.764672311539862
"19","spectral_relative_power__1_",0.342104740256942,0,8.96197075403608e-17,0.442189803580374,0,2.27050377755366e-16
"20","spectral_relative_power__2_",0.498164512058204,4.38761586698448e-17,0,0.519254599183539,0,0.0403990131972228
"21","spectral_relative_power__3_",0,8.72699007840025e-15,0,0,0,2.64415112753288e-14
"22","spectral_relative_power__4_",0.621424547417918,0,0.287651973138621,0.427685686704773,0,0.400210907831187
